j =  1/2+   -52.534
12.500       0.000046      -0.000005
12.600       0.000046      -0.000005
12.700       0.000045      -0.000006
12.800       0.000044      -0.000006
12.900       0.000043      -0.000006
13.000       0.000041      -0.000006
13.100       0.000039      -0.000006
13.200       0.000037      -0.000006
13.300       0.000034      -0.000006
13.400       0.000032      -0.000006
13.500       0.000029      -0.000006
13.600       0.000027      -0.000005
13.700       0.000024      -0.000005
13.800       0.000022      -0.000005
13.900       0.000020      -0.000004
14.000       0.000017      -0.000004
14.100       0.000015      -0.000004
14.200       0.000014      -0.000003
14.300       0.000012      -0.000003
14.400       0.000010      -0.000003
14.500       0.000009      -0.000002
14.600       0.000008      -0.000002
14.700       0.000007      -0.000002
14.800       0.000006      -0.000002
14.900       0.000005      -0.000001
15.000       0.000004      -0.000001
15.100       0.000003      -0.000001
15.200       0.000003      -0.000001
15.300       0.000002      -0.000001
15.400       0.000002      -0.000001
15.500       0.000002      -0.000000
15.600       0.000001      -0.000000
15.700       0.000001      -0.000000
15.800       0.000001      -0.000000
15.900       0.000001      -0.000000
16.000       0.000001      -0.000000
16.100       0.000000      -0.000000
16.200       0.000000      -0.000000
16.300       0.000000      -0.000000
16.400       0.000000      -0.000000
16.500       0.000000      -0.000000
16.600       0.000000      -0.000000
16.700       0.000000      -0.000000
16.800       0.000000      -0.000000
16.900       0.000000      -0.000000
17.000       0.000000      -0.000000
17.100       0.000000      -0.000000
17.200       0.000000      -0.000000
17.300       0.000000      -0.000000
17.400       0.000000      -0.000000
17.500       0.000000      -0.000000
17.600       0.000000      -0.000000
17.700       0.000000      -0.000000
17.800       0.000000      -0.000000
17.900       0.000000      -0.000000
18.000       0.000000      -0.000000

j = 3/2+   -28.624
 0.000       0.000000      -0.000000
 0.100       0.000422      -0.003526
 0.200       0.001687      -0.007029
 0.300       0.003788      -0.010489
 0.400       0.006715      -0.013883
 0.500       0.010453      -0.017193
 0.600       0.014982      -0.020398
 0.700       0.020274      -0.023482
 0.800       0.026296      -0.026428
 0.900       0.033006      -0.029221
 1.000       0.040355      -0.031846
 1.100       0.048282      -0.034290
 1.200       0.056722      -0.036541
 1.300       0.065598      -0.038584
 1.400       0.074825      -0.040408
 1.500       0.084310      -0.041999
 1.600       0.093955      -0.043344
 1.700       0.103654      -0.044431
 1.800       0.113300      -0.045247
 1.900       0.122783      -0.045781
 2.000       0.131991      -0.046025
 2.100       0.140817      -0.045970
 2.200       0.149156      -0.045612
 2.300       0.156909      -0.044952
 2.400       0.163986      -0.043992
 2.500       0.170304      -0.042741
 2.600       0.175794      -0.041214
 2.700       0.180395      -0.039428
 2.800       0.184063      -0.037408
 2.900       0.186765      -0.035182
 3.000       0.188481      -0.032783
 3.100       0.189208      -0.030249
 3.200       0.188954      -0.027617
 3.300       0.187739      -0.024927
 3.400       0.185599      -0.022220
 3.500       0.182578      -0.019536
 3.600       0.178731      -0.016912
 3.700       0.174123      -0.014383
 3.800       0.168825      -0.011978
 3.900       0.162914      -0.009724
 4.000       0.156473      -0.007642
 4.100       0.149586      -0.005746
 4.200       0.142341      -0.004048
 4.300       0.134824      -0.002550
 4.400       0.127120      -0.001253
 4.500       0.119313      -0.000152
 4.600       0.111480       0.000763
 4.700       0.103697       0.001502
 4.800       0.096031       0.002080
 4.900       0.088543       0.002514
 5.000       0.081288       0.002819
 5.100       0.074313       0.003014
 5.200       0.067656       0.003116
 5.300       0.061349       0.003139
 5.400       0.055413       0.003101
 5.500       0.049866       0.003013
 5.600       0.044714       0.002888
 5.700       0.039961       0.002737
 5.800       0.035602       0.002569
 5.900       0.031628       0.002391
 6.000       0.028025       0.002208
 6.100       0.024775       0.002025
 6.200       0.021859       0.001847
 6.300       0.019254       0.001675
 6.400       0.016937       0.001511
 6.500       0.014884       0.001357
 6.600       0.013071       0.001213
 6.700       0.011473       0.001080
 6.800       0.010068       0.000958
 6.900       0.008835       0.000847
 7.000       0.007753       0.000746
 7.100       0.006805       0.000656
 7.200       0.005974       0.000575
 7.300       0.005245       0.000504
 7.400       0.004604       0.000441
 7.500       0.004042       0.000386
 7.600       0.003546       0.000339
 7.700       0.003111       0.000298
 7.800       0.002726       0.000262
 7.900       0.002388       0.000232
 8.000       0.002090       0.000206
 8.100       0.001827       0.000184
 8.200       0.001596       0.000164
 8.300       0.001393       0.000147
 8.400       0.001216       0.000132
 8.500       0.001061       0.000118
 8.600       0.000925       0.000106
 8.700       0.000808       0.000095
 8.800       0.000706       0.000084
 8.900       0.000618       0.000074
 9.000       0.000542       0.000065
 9.100       0.000477       0.000056
 9.200       0.000420       0.000048
 9.300       0.000371       0.000040
 9.400       0.000329       0.000033
 9.500       0.000292       0.000027
 9.600       0.000260       0.000022
 9.700       0.000232       0.000017
 9.800       0.000207       0.000014
 9.900       0.000185       0.000011
10.000       0.000165       0.000009
10.100       0.000146       0.000007
10.200       0.000130       0.000006
10.300       0.000115       0.000006
10.400       0.000101       0.000006
10.500       0.000088       0.000006
10.600       0.000077       0.000007
10.700       0.000066       0.000007
10.800       0.000056       0.000008
10.900       0.000048       0.000009
11.000       0.000040       0.000009
11.100       0.000033       0.000009
11.200       0.000027       0.000009
11.300       0.000022       0.000009
11.400       0.000017       0.000009
11.500       0.000014       0.000008
11.600       0.000010       0.000008
11.700       0.000008       0.000007
11.800       0.000006       0.000006
11.900       0.000004       0.000005
12.000       0.000003       0.000004
12.100       0.000002       0.000003
12.200       0.000001       0.000002
12.300       0.000001       0.000001
12.400       0.000000      -0.000000
12.500       0.000000      -0.000001
12.600       0.000000      -0.000002
12.700       0.000000      -0.000003
12.800       0.000000      -0.000003
12.900       0.000000      -0.000004
13.000       0.000001      -0.000004
13.100       0.000001      -0.000004
13.200       0.000001      -0.000005
13.300       0.000001      -0.000005
13.400       0.000001      -0.000005
13.500       0.000001      -0.000004
13.600       0.000001      -0.000004
