j = 1/2+    -53.5511
     1.600       0.207766       0.066696
     1.700       0.171900       0.059269
     1.800       0.136061       0.051490
     1.900       0.100700       0.043459
     2.000       0.066274       0.035287
     2.100       0.033239       0.027094
     2.200       0.002035       0.019004
     2.300      -0.026923       0.011141
     2.400      -0.053257       0.003627
     2.500      -0.076636      -0.003425
     2.600      -0.096785      -0.009911
     2.700      -0.113494      -0.015741
     2.800      -0.126617      -0.020843
     2.900      -0.136086      -0.025159
     3.000      -0.141903      -0.028656
     3.100      -0.144142      -0.031317
     3.200      -0.142950      -0.033145
     3.300      -0.138537      -0.034164
     3.400      -0.131170      -0.034414
     3.500      -0.121166      -0.033951
     3.600      -0.108884      -0.032845
     3.700      -0.094711      -0.031176
     3.800      -0.079052      -0.029029
     3.900      -0.062324      -0.026499
     4.000      -0.044938      -0.023678
     4.100      -0.027293      -0.020659
     4.200      -0.009768      -0.017531
     4.300       0.007288      -0.014378
     4.400       0.023564      -0.011276
     4.500       0.038788      -0.008290
     4.600       0.052735      -0.005477
     4.700       0.065225      -0.002882
     4.800       0.076128      -0.000541
     4.900       0.085359       0.001523
     5.000       0.092880       0.003296
     5.100       0.098693       0.004774
     5.200       0.102840       0.005962
     5.300       0.105394       0.006872
     5.400       0.106457       0.007520
     5.500       0.106154       0.007930
     5.600       0.104627       0.008127
     5.700       0.102028       0.008140
     5.800       0.098517       0.007996
     5.900       0.094255       0.007725
     6.000       0.089402       0.007355
     6.100       0.084108       0.006911
     6.200       0.078518       0.006418
     6.300       0.072762       0.005898
     6.400       0.066957       0.005367
     6.500       0.061207       0.004842
     6.600       0.055599       0.004334
     6.700       0.050205       0.003854
     6.800       0.045082       0.003408
     6.900       0.040274       0.002999
     7.000       0.035808       0.002632
     7.100       0.031704       0.002304
     7.200       0.027967       0.002017
     7.300       0.024596       0.001767
     7.400       0.021582       0.001551
     7.500       0.018908       0.001367
     7.600       0.016554       0.001210
     7.700       0.014497       0.001076
     7.800       0.012711       0.000962
     7.900       0.011169       0.000864
     8.000       0.009844       0.000779
     8.100       0.008711       0.000705
     8.200       0.007744       0.000639
     8.300       0.006919       0.000578
     8.400       0.006216       0.000522
     8.500       0.005614       0.000470
     8.600       0.005097       0.000420
     8.700       0.004650       0.000372
     8.800       0.004259       0.000326
     8.900       0.003913       0.000282
     9.000       0.003605       0.000240
     9.100       0.003326       0.000200
     9.200       0.003072       0.000162
     9.300       0.002836       0.000126
     9.400       0.002617       0.000093
     9.500       0.002411       0.000063
     9.600       0.002217       0.000035
     9.700       0.002033       0.000011
     9.800       0.001859      -0.000010
     9.900       0.001695      -0.000028
    10.000       0.001540      -0.000043
    10.100       0.001393      -0.000056
    10.200       0.001256      -0.000065
    10.300       0.001128      -0.000073
    10.400       0.001009      -0.000078
    10.500       0.000898      -0.000081
    10.600       0.000796      -0.000082
    10.700       0.000703      -0.000082
    10.800       0.000618      -0.000080
    10.900       0.000541      -0.000078
    11.000       0.000472      -0.000074
    11.100       0.000410      -0.000070
    11.200       0.000354      -0.000066
    11.300       0.000305      -0.000061
    11.400       0.000261      -0.000057
    11.500       0.000223      -0.000052
    11.600       0.000189      -0.000047
    11.700       0.000160      -0.000042
    11.800       0.000135      -0.000038
