j = 1/2+    -56.2339
    13.300      -0.000080      -0.000016
    13.400      -0.000065      -0.000013
    13.500      -0.000053      -0.000011
    13.600      -0.000043      -0.000009
    13.700      -0.000035      -0.000007
    13.800      -0.000028      -0.000006
    13.900      -0.000023      -0.000005
    14.000      -0.000018      -0.000004
    14.100      -0.000015      -0.000003
    14.200      -0.000012      -0.000002
    14.300      -0.000009      -0.000002
    14.400      -0.000007      -0.000002
    14.500      -0.000006      -0.000001
    14.600      -0.000004      -0.000001
    14.700      -0.000004      -0.000001
    14.800      -0.000003      -0.000001
    14.900      -0.000002      -0.000000
    15.000      -0.000002      -0.000000
    15.100      -0.000001      -0.000000
    15.200      -0.000001      -0.000000
    15.300      -0.000001      -0.000000
    15.400      -0.000001      -0.000000
    15.500      -0.000000      -0.000000
    15.600      -0.000000      -0.000000
    15.700      -0.000000      -0.000000
    15.800      -0.000000      -0.000000
    15.900      -0.000000      -0.000000
    16.000      -0.000000      -0.000000
    16.100      -0.000000      -0.000000
    16.200      -0.000000      -0.000000
    16.300      -0.000000      -0.000000
    16.400      -0.000000      -0.000000
    16.500      -0.000000      -0.000000
    16.600      -0.000000      -0.000000
    16.700      -0.000000      -0.000000
    16.800      -0.000000      -0.000000
    16.900      -0.000000      -0.000000
    17.000      -0.000000      -0.000000
    17.100      -0.000000      -0.000000
    17.200      -0.000000      -0.000000
    17.300      -0.000000      -0.000000
    17.400      -0.000000      -0.000000
    17.500      -0.000000      -0.000000
    17.600      -0.000000      -0.000000
    17.700      -0.000000      -0.000000
    17.800      -0.000000      -0.000000
    17.900      -0.000000      -0.000000
    18.000      -0.000000      -0.000000
    18.100      -0.000000      -0.000000
    18.200      -0.000000      -0.000000
    18.300      -0.000000      -0.000000
    18.400      -0.000000      -0.000000
    18.500      -0.000000      -0.000000
    18.600      -0.000000      -0.000000
    18.700      -0.000000      -0.000000
    18.800      -0.000000      -0.000000
    18.900      -0.000000      -0.000000
    19.000      -0.000000      -0.000000
    19.100      -0.000000      -0.000000
    19.200      -0.000000      -0.000000

j = 1/2+     23.8398
     0.000       0.061121       0.020845
     0.100       0.061422       0.020919
     0.200       0.062288       0.021134
     0.300       0.063604       0.021460
     0.400       0.065193       0.021850
     0.500       0.066823       0.022245
     0.600       0.068224       0.022576
     0.700       0.069112       0.022766
     0.800       0.069207       0.022742
     0.900       0.068255       0.022434
     1.000       0.066048       0.021784
     1.100       0.062442       0.020748
     1.200       0.057368       0.019302
     1.300       0.050846       0.017442
     1.400       0.042981       0.015188
     1.500       0.033968       0.012582
     1.600       0.024078       0.009687
     1.700       0.013650       0.006586
     1.800       0.003068       0.003376
     1.900      -0.007253       0.000163
     2.000      -0.016896      -0.002940
     2.100      -0.025460      -0.005822
     2.200      -0.032587      -0.008377
     2.300      -0.037979      -0.010512
     2.400      -0.041417      -0.012151
     2.500      -0.042776      -0.013237
     2.600      -0.042028      -0.013738
     2.700      -0.039246      -0.013646
     2.800      -0.034603      -0.012979
     2.900      -0.028363      -0.011778
     3.000      -0.020862      -0.010110
     3.100      -0.012499      -0.008059
     3.200      -0.003707      -0.005723
     3.300       0.005063      -0.003213
     3.400       0.013368      -0.000643
     3.500       0.020795       0.001872
     3.600       0.026983       0.004223
     3.700       0.031637       0.006310
     3.800       0.034543       0.008048
     3.900       0.035580       0.009371
     4.000       0.034720       0.010232
     4.100       0.032032       0.010606
     4.200       0.027671       0.010490
     4.300       0.021876       0.009902
     4.400       0.014951       0.008881
     4.500       0.007248       0.007483
     4.600      -0.000844       0.005778
     4.700      -0.008928       0.003846
     4.800      -0.016610       0.001774
     4.900      -0.023521      -0.000347
     5.000      -0.029334      -0.002428
     5.100      -0.033776      -0.004386
     5.200      -0.036641      -0.006146
     5.300      -0.037795      -0.007642
     5.400      -0.037182      -0.008823
     5.500      -0.034824      -0.009652
     5.600      -0.030814      -0.010107
     5.700      -0.025317      -0.010182
     5.800      -0.018554      -0.009884
     5.900      -0.010792      -0.009236
     6.000      -0.002334      -0.008270
     6.100       0.006494      -0.007031
     6.200       0.015363      -0.005568
     6.300       0.023947      -0.003939
     6.400       0.031939      -0.002201
     6.500       0.039061      -0.000415
     6.600       0.045073       0.001363
     6.700       0.049781       0.003079
     6.800       0.053040       0.004684
     6.900       0.054759       0.006136
     7.000       0.054899       0.007402
     7.100       0.053472       0.008455
     7.200       0.050538       0.009279
     7.300       0.046201       0.009863
     7.400       0.040602       0.010206
     7.500       0.033909       0.010315
     7.600       0.026317       0.010201
     7.700       0.018032       0.009883
     7.800       0.009269       0.009382
     7.900       0.000243       0.008723
     8.000      -0.008838       0.007934
     8.100      -0.017777       0.007043
     8.200      -0.026394       0.006079
     8.300      -0.034532       0.005070
     8.400      -0.042055       0.004041
     8.500      -0.048851       0.003018
     8.600      -0.054837       0.002021
     8.700      -0.059955       0.001069
     8.800      -0.064169       0.000177
     8.900      -0.067470      -0.000641
     9.000      -0.069868      -0.001378
     9.100      -0.071393      -0.002027
     9.200      -0.072089      -0.002585
     9.300      -0.072015      -0.003051
     9.400      -0.071240      -0.003427
     9.500      -0.069839      -0.003715
     9.600      -0.067892      -0.003922
     9.700      -0.065481      -0.004052
     9.800      -0.062689      -0.004114
     9.900      -0.059595      -0.004114
    10.000      -0.056276      -0.004061
    10.100      -0.052803      -0.003962
    10.200      -0.049242      -0.003826
